# Time varying values for: VelocityZ
#
# Monitoring point coordinates:
#        1 [ 0.0000000e+00,  1.0000000e-04,  0.0000000e+00]
#        2 [ 0.0000000e+00,  2.5000000e-03,  0.0000000e+00]
#        3 [ 0.0000000e+00,  4.9000000e-03,  0.0000000e+00]
#        4 [ 5.0000000e-02,  1.0000000e-04,  0.0000000e+00]
#        5 [ 5.0000000e-02,  2.5000000e-03,  0.0000000e+00]
#        6 [ 5.0000000e-02,  4.9000000e-03,  0.0000000e+00]
#        7 [ 1.0000000e-01,  1.0000000e-04,  0.0000000e+00]
#        8 [ 1.0000000e-01,  2.5000000e-03,  0.0000000e+00]
#        9 [ 1.0000000e-01,  4.9000000e-03,  0.0000000e+00]
#
# Columns:
#   0:     Time step number
#   1 - :  Values at monitoring points
#
#TITLE: VelocityZ
#COLUMN_TITLES:  nt | 1 [0.00000e+00, 1.00000e-04, 0.00000e+00] | 2 [0.00000e+00, 2.50000e-03, 0.00000e+00] | 3 [0.00000e+00, 4.90000e-03, 0.00000e+00] | 4 [5.00000e-02, 1.00000e-04, 0.00000e+00] | 5 [5.00000e-02, 2.50000e-03, 0.00000e+00] | 6 [5.00000e-02, 4.90000e-03, 0.00000e+00] | 7 [1.00000e-01, 1.00000e-04, 0.00000e+00] | 8 [1.00000e-01, 2.50000e-03, 0.00000e+00] | 9 [1.00000e-01, 4.90000e-03, 0.00000e+00]
#COLUMN_UNITS:  iter - - - - - - - - -
#
        1 -4.3106884e-18 -1.0129786e-17 -2.1752296e-32 -1.2326863e-18  0.0000000e+00 -3.7060806e-18 -1.3440146e-18  6.3882899e-17 -1.3469626e-18
        2 -5.8279336e-18 -1.4017058e-17 -3.0320488e-18 -2.4587158e-18  0.0000000e+00 -6.1633759e-18 -2.3443774e-18  1.0812309e-16 -2.3307478e-18
        3 -5.8279336e-18 -1.4017058e-17 -5.6745628e-18 -2.1518564e-18  0.0000000e+00 -5.7020988e-18 -2.1571839e-18  9.9863823e-17 -2.1454928e-18
        4 -5.8279336e-18 -1.3531119e-17 -7.3708345e-18 -1.9983065e-18  0.0000000e+00 -5.5482181e-18 -2.0424401e-18  9.4904840e-17 -2.0316724e-18
        5 -5.8279336e-18 -1.3045173e-17 -8.2184322e-18 -1.9214912e-18  0.0000000e+00 -5.4712371e-18 -1.9750814e-18  9.2004083e-17 -1.9653408e-18
        6 -5.8279336e-18 -1.2923686e-17 -8.6891817e-18 -1.8446479e-18  0.0000000e+00 -5.3557233e-18 -1.9326011e-18  9.0156034e-17 -1.9230613e-18
        7 -5.8279336e-18 -1.2802199e-17 -8.9245228e-18 -1.8062161e-18  0.0000000e+00 -5.3172084e-18 -1.9041759e-18  8.8902292e-17 -1.8948676e-18
        8 -5.8279336e-18 -1.2741455e-17 -9.0657171e-18 -1.7677766e-18  0.0000000e+00 -5.2786857e-18 -1.8839519e-18  8.7998959e-17 -1.8747463e-18
        9 -5.8279336e-18 -1.2680711e-17 -9.1598431e-18 -1.7677766e-18  0.0000000e+00 -5.2594213e-18 -1.8690014e-18  8.7324124e-17 -1.8599100e-18
       10 -5.8279336e-18 -1.2650339e-17 -9.2069052e-18 -1.7389386e-18  0.0000000e+00 -5.2305210e-18 -1.8577871e-18  8.6814630e-17 -1.8486712e-18
