# Time varying values for: VelocityY
#
# Monitoring point coordinates:
#        1 [ 0.0000000e+00,  1.0000000e-04,  0.0000000e+00]
#        2 [ 0.0000000e+00,  2.5000000e-03,  0.0000000e+00]
#        3 [ 0.0000000e+00,  4.9000000e-03,  0.0000000e+00]
#        4 [ 5.0000000e-02,  1.0000000e-04,  0.0000000e+00]
#        5 [ 5.0000000e-02,  2.5000000e-03,  0.0000000e+00]
#        6 [ 5.0000000e-02,  4.9000000e-03,  0.0000000e+00]
#        7 [ 1.0000000e-01,  1.0000000e-04,  0.0000000e+00]
#        8 [ 1.0000000e-01,  2.5000000e-03,  0.0000000e+00]
#        9 [ 1.0000000e-01,  4.9000000e-03,  0.0000000e+00]
#
# Columns:
#   0:     Time step number
#   1 - :  Values at monitoring points
#
#TITLE: VelocityY
#COLUMN_TITLES:  nt | 1 [0.00000e+00, 1.00000e-04, 0.00000e+00] | 2 [0.00000e+00, 2.50000e-03, 0.00000e+00] | 3 [0.00000e+00, 4.90000e-03, 0.00000e+00] | 4 [5.00000e-02, 1.00000e-04, 0.00000e+00] | 5 [5.00000e-02, 2.50000e-03, 0.00000e+00] | 6 [5.00000e-02, 4.90000e-03, 0.00000e+00] | 7 [1.00000e-01, 1.00000e-04, 0.00000e+00] | 8 [1.00000e-01, 2.50000e-03, 0.00000e+00] | 9 [1.00000e-01, 4.90000e-03, 0.00000e+00]
#COLUMN_UNITS:  iter - - - - - - - - -
#
        1  6.4823340e-03 -1.0036583e-04 -6.5091171e-03  8.0162314e-08 -1.0165634e-07 -8.0065008e-08  4.5383109e-07 -4.5599355e-07 -4.5362872e-07
        2  1.2017363e-02 -7.6967163e-05 -1.2061001e-02  1.1748818e-07 -1.8585487e-07 -1.1735394e-07  5.8386743e-07 -5.7599029e-07 -5.8280053e-07
        3  1.3945659e-02 -5.2650854e-05 -1.3986805e-02  1.0561393e-07 -2.2266872e-07 -1.0543789e-07  5.6525334e-07 -6.1929123e-07 -5.6402333e-07
        4  1.4730639e-02 -4.2257357e-05 -1.4766717e-02  9.4478301e-08 -2.4923315e-07 -9.4321825e-08  5.1490528e-07 -6.4263334e-07 -5.1381266e-07
        5  1.5083117e-02 -3.8330725e-05 -1.5115266e-02  8.6199643e-08 -2.6915779e-07 -8.6043572e-08  4.6069129e-07 -6.6527838e-07 -4.5973293e-07
        6  1.5254169e-02 -3.6703600e-05 -1.5283781e-02  8.0157488e-08 -2.9259178e-07 -7.9984141e-08  4.1074753e-07 -6.8529553e-07 -4.0983801e-07
        7  1.5341963e-02 -3.5920215e-05 -1.5370020e-02  7.5655599e-08 -3.1295006e-07 -7.5458509e-08  3.6790270e-07 -6.9881880e-07 -3.6697410e-07
        8  1.5386059e-02 -3.5476033e-05 -1.5413189e-02  7.2190799e-08 -3.3089717e-07 -7.1969817e-08  3.3259857e-07 -7.0520481e-07 -3.3161949e-07
        9  1.5410575e-02 -3.5183825e-05 -1.5437146e-02  6.9419665e-08 -3.4800515e-07 -6.9180322e-08  3.0407113e-07 -7.0586977e-07 -3.0303755e-07
       10  1.5425098e-02 -3.4974667e-05 -1.5451323e-02  6.7161454e-08 -3.6392837e-07 -6.6907900e-08  2.8103935e-07 -7.0287409e-07 -2.7996094e-07
